title,price,area,city,region,postcode,bedrooms,bathrooms,property_type,furnished,bills_included,parking,garden,nearest_station,station_distance_mins,description,image_url,listing_url
Modern Studio in Canary Wharf,1450,Canary Wharf,London,Greater London,E14 5AB,1,1,Flat,True,True,False,False,Canary Wharf,3,A sleek studio apartment with river views and 24-hour concierge. Open-plan living with modern kitchen.,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600,
Spacious 2-Bed in Stratford,1600,Stratford,London,Greater London,E15 1DA,2,1,Flat,True,False,False,False,Stratford,5,Bright two-bedroom flat near Westfield and the Olympic Park. Recently refurbished with new appliances.,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=600,
Victorian Terrace in Clapham,2200,Clapham,London,Greater London,SW4 7AA,3,2,House,False,False,True,True,Clapham Common,7,Charming Victorian terrace house with original features. Private garden and off-street parking.,https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=600,
Luxury Penthouse Shoreditch,3500,Shoreditch,London,Greater London,EC2A 3QR,2,2,Flat,True,True,True,False,Shoreditch High Street,4,Premium penthouse with rooftop terrace and city views. High-spec finish throughout.,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600,
Cosy 1-Bed in Greenwich,1250,Greenwich,London,Greater London,SE10 8EW,1,1,Flat,True,False,False,False,Greenwich,6,Well-maintained one-bed flat close to Greenwich Park and the Cutty Sark.,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=600,
Family Home in Dulwich,2800,Dulwich,London,Greater London,SE21 7LH,4,2,House,False,False,True,True,West Dulwich,8,Spacious family home in a quiet tree-lined street. Large rear garden and garage.,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=600,
Modern Flat Northern Quarter,950,Northern Quarter,Manchester,Greater Manchester,M1 1JR,1,1,Flat,True,True,False,False,Manchester Piccadilly,8,Stylish apartment in the heart of the Northern Quarter. Walking distance to all amenities.,https://images.unsplash.com/photo-1560185893-a55cbc8c57e8?w=600,
2-Bed Apartment Salford Quays,1100,Salford Quays,Manchester,Greater Manchester,M50 3AZ,2,1,Flat,True,False,True,False,MediaCityUK,5,Modern waterside apartment with balcony overlooking the quays. Secure parking included.,https://images.unsplash.com/photo-1574362848149-11496d93a7c7?w=600,
Didsbury Semi-Detached,1400,Didsbury,Manchester,Greater Manchester,M20 2GR,3,2,House,False,False,True,True,East Didsbury,6,Popular semi-detached house in sought-after Didsbury village. Large garden and driveway.,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=600,
City Centre Loft Manchester,1300,City Centre,Manchester,Greater Manchester,M2 4WU,2,1,Flat,True,True,False,False,Deansgate,3,Converted warehouse loft with exposed brick and high ceilings. All bills included.,https://images.unsplash.com/photo-1536376072261-38c75010e6c9?w=600,
Jewellery Quarter Studio,750,Jewellery Quarter,Birmingham,West Midlands,B18 6NF,1,1,Flat,True,True,False,False,Jewellery Quarter,4,Compact studio in Birmingham's creative quarter. Bills included with fast broadband.,https://images.unsplash.com/photo-1630699144867-37acec97df5a?w=600,
